common_name,scientific_name,plant_type,sun_requirements,water_needs,soil_type,bloom_time,mature_height_feet,mature_spread_feet,native_region,care_level,wildlife_value,propagation_method,companion_plants,special_features
Purple Coneflower,Echinacea purpurea,Perennial,Full Sun,Low,Well-drained,Jul-Sep,2-3,1.5-2,Eastern US,Easy,High - Butterflies/Birds,Seed/Division,Black-eyed Susan;Wild Bergamot,Drought tolerant
Black-eyed Susan,Rudbeckia fulgida,Perennial,Full Sun,Low-Medium,Adaptable,Jun-Oct,1-3,1-2,Eastern US,Easy,High - Butterflies/Birds,Seed/Division,Purple Coneflower;Little Bluestem,Long blooming
Wild Bergamot,Monarda fistulosa,Perennial,Full Sun to Partial,Medium,Well-drained,Jul-Sep,2-4,1-2,Eastern US,Easy,High - Bees/Butterflies,Seed/Division,Purple Coneflower;Prairie Dropseed,Aromatic
Little Bluestem,Schizachyrium scoparium,Ornamental Grass,Full Sun,Low,Well-drained,Aug-Oct,2-4,1-2,North America,Easy,Medium - Birds,Seed,Black-eyed Susan;Wild Indigo,Fall color
Wild Indigo,Amorpha canescens,Shrub,Full Sun,Low,Sandy/Clay,Jun-Jul,2-3,2-3,Great Plains,Easy,High - Nitrogen Fixer,Seed,Little Bluestem;Prairie Sage,Deep taproot
New England Aster,Symphyotrichum novae-angliae,Perennial,Full Sun,Medium,Moist,Aug-Oct,3-6,2-3,Eastern US,Moderate,Very High - Late Pollinators,Seed/Division,Goldenrod;Joe Pye Weed,Late season blooms
Goldenrod,Solidago speciosa,Perennial,Full Sun,Low,Well-drained,Aug-Oct,2-5,1-3,Eastern US,Easy,Very High - Butterflies,Seed/Division,New England Aster;Wild Bergamot,Showy flowers
Wild Columbine,Aquilegia canadensis,Perennial,Partial Shade,Medium,Rocky/Well-drained,Apr-Jun,1-2,1-1.5,Eastern US,Moderate,High - Hummingbirds,Seed,Wild Ginger;Bloodroot,Shade tolerant
Bloodroot,Sanguinaria canadensis,Perennial,Shade to Partial,Medium,Rich/Moist,Mar-Apr,0.5-1,0.5-1,Eastern US,Moderate,Medium - Early Spring,Seed/Division,Wild Columbine;Trillium,Ephemeral
Wild Ginger,Asarum canadense,Perennial,Shade,Medium,Rich/Moist,Apr-May,0.5,1-2,Eastern US,Easy,Low - Ground Cover,Division,Bloodroot;Jack-in-the-Pulpit,Groundcover
Spicebush,Lindera benzoin,Shrub,Partial Shade,Medium,Moist,Mar-Apr,6-12,6-10,Eastern US,Easy,Very High - Birds/Butterflies,Seed,Wild Ginger;Elderberry,Host plant
Elderberry,Sambucus canadensis,Shrub,Full Sun to Partial,Medium,Moist,Jun-Jul,5-12,5-12,North America,Easy,Very High - Birds/Insects,Seed/Cuttings,Spicebush;Dogwood,Edible berries
Prairie Dropseed,Sporobolus heterolepis,Ornamental Grass,Full Sun,Low,Well-drained,Aug-Sep,1.5-3,1.5-2,Great Plains,Easy,High - Birds,Seed,Wild Bergamot;Purple Coneflower,Fragrant
Wild Lupine,Lupinus perennis,Perennial,Full Sun,Low-Medium,Sandy/Acidic,May-Jun,1-2,1-1.5,Eastern US,Moderate,Very High - Karner Blue Butterfly,Seed,Little Bluestem;Wild Indigo,Nitrogen fixer
Nodding Onion,Allium cernuum,Perennial,Full Sun to Partial,Low,Well-drained,Jul-Aug,1-2,0.5-1,North America,Easy,High - Bees/Butterflies,Seed/Division,Prairie Sage;Yarrow,Edible
Prairie Sage,Artemisia ludoviciana,Perennial,Full Sun,Low,Well-drained,Aug-Sep,2-4,2-3,Great Plains,Easy,Medium - Moths,Seed/Division,Nodding Onion;Buffalo Grass,Aromatic foliage
Wild Strawberry,Fragaria virginiana,Perennial,Partial Sun,Medium,Well-drained,Apr-Jun,0.3-0.5,1-3,North America,Easy,Medium - Ground Cover,Runners,Wild Ginger;Violets,Edible fruit
Common Violet,Viola sororia,Perennial,Partial Shade,Medium,Moist,Mar-May,0.3-0.5,0.5-1,Eastern US,Easy,High - Fritillary Butterflies,Seed,Wild Strawberry;Mayapple,Self-seeding
Mayapple,Podophyllum peltatum,Perennial,Shade,Medium,Rich/Moist,Apr-May,1-1.5,1-2,Eastern US,Easy,Medium - Ground Cover,Division,Common Violet;Trillium,Umbrella leaves
Jack-in-the-Pulpit,Arisaema triphyllum,Perennial,Shade,Medium,Rich/Moist,Apr-Jun,1-3,1-1.5,Eastern US,Moderate,Medium - Specialized,Seed/Division,Wild Ginger;Mayapple,Unique flowers
